"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2019-02-21T14:33:48.356+02:00[Europe/Helsinki]","0.0","10.4"
"Lookup a definition","Looking up the definition of 'apple'","PENDING","2019-02-25T14:21:25.347+02:00[Europe/Helsinki]","0.0","0.0"
